A,Hooking functions,SetWindowsHookExW,UnhookWindowsHookEx,SetWindowsHookExA,CallNextHookEx,SetWindowsHookA,SetWindowsHookW,CallMsgFilterA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Files and directories,GetSystemDirectoryA,GetModuleFileNameA,GetWindowsDirectoryW,FindFirstFileExW,FindFirstFileA,SearchPathW,CreateFileW,WriteFile,GetSystemDirectoryW,GetFullPathNameW,SetFilePointer,CoCreateGuid,CreateFileMappingA,GetFullPathNameA,OpenFileMappingA,GetTempPathW,GetTempPathA,GetTempFileNameW,GetTempFileNameA,SetFileAttributesW,SetFileAttributesA,DeleteFileW,DeleteFileA,CreateDirectoryW,CreateDirectoryA,FindFirstFileW,GetCurrentDirectoryA,SetCurrentDirectoryA,GetWindowsDirectoryA,GetFileSize,GetFileAttributesA,FindNextFileW,FindNextFileA,GetParent,RemoveDirectoryW,RemoveDirectoryA,GetBinaryTypeW,_lclose,CopyFileW,GetVolumeInformationW,OpenFile,SetEndOfFile,LockFile,UnlockFileEx,UnlockFile,GetShortPathNameW,SetCurrentDirectoryW,OleDuplicateData,GetFileAttributesExW,GetShortPathNameA,GetFileInformationByHandle,FlushFileBuffers,MoveFileA,GetFileAttributesExA,_lopen,_hread,_llseek,_lcreat,_hwrite,MoveFileExA,CreateFileMoniker,MkParseDisplayName,CreateDirectoryExW,CreateDirectoryExA,MoveFileW,SetStdHandle,GetMetaFileA,ReadFileEx,GetBinaryTypeA,DefineDosDeviceW,DefineDosDeviceA,MoveFileExW,GetFileType,GetModuleFileNameW,GetFileAttributesW,OpenFileMappingW,GetCurrentDirectoryW,CopyMetaFileW,CopyMetaFileA,FindFirstFileExA,CopyFileExA,GetEnhMetaFileW,GetEnhMetaFileA,GetEnhMetaFileDescriptionA,WriteFileEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Reg operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Synchronization,CreateSemaphoreW,CreateSemaphoreA,WaitForSingleObjectEx,WaitForSingleObject,ReleaseSemaphore,CreateMutexW,ReleaseMutex,WaitForMultipleObjectsEx,WaitForMultipleObjects,CreateMutexA,OpenMutexW,OpenMutexA,CreateEventA,ResetEvent,SetEvent,OpenEventA,MsgWaitForMultipleObjects,OpenSemaphoreA,OpenSemaphoreW,SignalObjectAndWait,PulseEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Memory allocation,LocalAlloc,CreateFileMappingW,VirtualAllocEx,GlobalAlloc,VirtualFreeEx,GlobalLock,GlobalUnlock,GlobalReAlloc,GlobalFree,GlobalMemoryStatus,HeapLock,HeapUnlock,LocalUnlock,CoGetMalloc,CoTaskMemAlloc,CoTaskMemFree,CoTaskMemRealloc,LocalReAlloc,ReadProcessMemory,WriteProcessMemory,GlobalHandle,LocalLock,PropVariantClear,ReleaseStgMedium,FlushViewOfFile,GetCompressedFileSizeW,CoFreeUnusedLibraries,LocalFlags,CoDisconnectObject,GlobalFlags,EraseTape,GetCompressedFileSizeA,GetHGlobalFromILockBytes,LocalFree,MapViewOfFile,UnmapViewOfFile,SetClassWord,GetTapeParameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Page Info,IsDBCSLeadByte,VirtualQueryEx,VirtualProtectEx,IsValidCodePage,GetKBCodePage,IsDBCSLeadByteEx,AreFileApisANSI,SetFileApisToANSI,SetFileApisToOEM,GetACP,GetCPInfo,EndPage,EnumSystemCodePagesW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Data exchange,GlobalAddAtomW,RegisterClipboardFormatA,GlobalAddAtomA,GetPrivateProfileStringW,GetPrivateProfileIntW,GetPrivateProfileSectionW,GlobalGetAtomNameA,GlobalFindAtomA,FindAtomA,AddAtomA,GetAtomNameA,WritePrivateProfileStructA,WritePrivateProfileStringA,CancelIo,GlobalFindAtomW,GetPrivateProfileStringA,GetPrivateProfileIntA,GetProfileIntA,GetProfileIntW,GetPrivateProfileStructA,WritePrivateProfileStructW,DdePostAdvise,PostQueuedCompletionStatus,GetQueuedCompletionStatus,IsClipboardFormatAvailable,GetProfileStringA,GlobalDeleteAtom,DeleteAtom,OpenClipboard,EmptyClipboard,CloseClipboard,SetClipboardViewer,FindAtomW,AddAtomW,GetClipboardViewer,GetRunningObjectTable,DdeGetLastError,DdeUninitialize,GetProfileSectionW,InitAtomTable,GetAtomNameW,PackDDElParam,UnpackDDElParam,FreeDDElParam,EnumClipboardFormats,GetPrivateProfileSectionNamesA,GetPrivateProfileSectionA,GetOpenClipboardWindow,SetClipboardData,GetClipboardData,QueryDosDeviceA,OleFlushClipboard,CountClipboardFormats,ImpersonateDdeClientWindow,CreateMailslotW,CreateMailslotA,GetClipboardOwner,SetMailslotInfo,WriteProfileSectionW,WritePrivateProfileSectionA,GetProfileSectionA,WritePrivateProfileSectionW,WritePrivateProfileStringW,GetMailslotInfo,OleGetClipboard,DdeDisconnect,DdeSetQualityOfService,CoIsOle1Class,OleSetContainedObject,GlobalGetAtomNameW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,Menu and other resources,lstrcpynW,LoadCursorW,LockResource,LoadIconW,LookupIconIdFromDirectoryEx,LoadIconA,LoadImageW,LoadImageA,FindResourceW,SizeofResource,GetIconInfo,VerLanguageNameW,VerLanguageNameA,FindResourceA,FindResourceExA,GetCursorPos,CreateIcon,LoadMenuIndirectA,LoadMenuW,GetSystemMenu,FreeResource,EnumResourceLanguagesW,EnumResourceLanguagesA,EnumResourceNamesA,EnumResourceTypesA,LoadStringW,lstrcpyA,lstrcpynA,CompareStringA,lstrcmpA,lstrcpyW,lstrcmpiW,CharPrevW,lstrcatW,CharLowerBuffW,CharLowerW,CharUpperBuffW,CharNextW,lstrcmpW,lstrcmpiA,CharLowerBuffA,CharLowerA,CharPrevA,GetTextExtentPointW,IsBadWritePtr,OemToCharA,CharUpperBuffA,CharUpperA,GetMenu,DestroyMenu,DrawIconEx,EnableMenuItem,DeleteMenu,CopyImage,DestroyCursor,GetMenuCheckMarkDimensions,CreateAcceleratorTableW,LoadAcceleratorsW,TranslateAcceleratorW,IsCharLowerA,EnumResourceNamesW,EnumResourceTypesW,DdeCmpStringHandles,PropVariantCopy,AppendMenuA,SetMenu,IsCharAlphaNumericA,IsWindowUnicode,SetCaretPos,LoadCursorFromFileW,HideCaret,ShowCaret,IsBadStringPtrA,CreateIconFromResourceEx,CharToOemBuffA,CopyIcon,BeginUpdateResourceW,BeginUpdateResourceA,UpdateResourceW,UpdateResourceA,IsMenu,LoadAcceleratorsA,CharToOemA,DestroyAcceleratorTable,IsCharUpperA,CreatePopupMenu,InsertMenuW,GetMenuDefaultItem,SetMenuDefaultItem,GetMenuItemID,CreateMenu,EndUpdateResourceW,EndUpdateResourceA,LoadMenuA,DrawMenuBar,IsCharAlphaA,GetCursor,IsCharAlphaW,ShowCursor,FoldStringW,CreateIconIndirect,CreateAcceleratorTableA,AppendMenuW,IsCharAlphaNumericW,GetCaretPos,CheckMenuItem,GetClipCursor,CharToOemW,InsertMenuItemA,InsertMenuItemW,GetNumberFormatW,CompareStringW,FoldStringA,lstrlenW,CharUpperW,TrackPopupMenuEx,TrackPopupMenu,TranslateAcceleratorA,DrawIcon,CreateCaret,GetMenuItemCount,IsCharUpperW,OemToCharBuffA,IsAccelerator,CharNextExA,DestroyCaret,GetMenuState,IsCharLowerW,LoadCursorFromFileA,RemoveMenu,MenuItemFromPoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Library load,LoadLibraryExW,LoadLibraryW,FreeLibrary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,Device Info,GetDeviceCaps,ReleaseDC,GetStockObject,GetComputerNameA,GetVersion,GetProcessVersion,GetComputerNameW,CreateDCA,GetSystemDefaultLCID,IsWindow,DefWindowProcW,GetDriveTypeW,GetUserDefaultLCID,ConvertDefaultLocale,IsValidLocale,GetViewportExtEx,CreateCompatibleBitmap,SaveDC,SelectPalette,RestoreDC,CreateCompatibleDC,DeleteDC,GetUserDefaultLangID,GetSystemDefaultLangID,GetDiskFreeSpaceW,GetLogicalDrives,GetDriveTypeA,EnumSystemLocalesA,GetDCEx,SetLocaleInfoW,GetDiskFreeSpaceA,GetVolumeInformationA,GetDiskFreeSpaceExW,GetDiskFreeSpaceExA,gethostname,GetLogicalDriveStringsA,CreateICA,QueryDosDeviceW,CloseMetaFile,CreateICW,CreateMetaFileW,CreateMetaFileA,GetMiterLimit,EnumSystemLocalesW,GetSystemPowerStatus,AbortPath,StartPage,EndPath,GetBkColor,SetLocaleInfoA,GetVersionExW,GetVersionExA,GetSystemInfo,GetLogicalDriveStringsW,CreateDCW,GetDCOrgEx,SetComputerNameW,CancelDC,SetVolumeLabelW,SetVolumeLabelA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,windows,GetSysColor,RegisterClassW,RegisterClassExW,UnregisterClassW,GetProcessWindowStation,EndDeferWindowPos,GetWindowDC,FindWindowA,RegisterClassExA,GetPropW,GetWindowLongW,GetClassLongW,SetPropW,CreateWindowExW,GetWindowExtEx,RegisterClassA,GetClassInfoExA,DefWindowProcA,SystemParametersInfoA,GetClassInfoExW,TranslateCharsetInfo,GetClassInfoW,CreateWindowExA,GetWindow,SetWindowPos,ShowWindow,SetWindowLongA,SetWindowTextA,GetForegroundWindow,DefDlgProcA,GetMessageExtraInfo,SetFocus,GetClassLongA,CallWindowProcA,GetWindowLongA,GetPropA,SetPropA,GetClassNameW,RemovePropW,CallWindowProcW,PeekMessageA,CloseWindowStation,AdjustWindowRectEx,SetWindowContextHelpId,EnumThreadWindows,GetQueueStatus,DestroyWindow,DefDlgProcW,GetInputState,PostThreadMessageA,SetWindowLongW,PeekMessageW,EnumChildWindows,FindWindowW,SendMessageW,IsIconic,IsZoomed,GetDlgItem,IsWindowVisible,GetWindowTextW,BringWindowToTop,SendMessageA,GetMessageW,DispatchMessageW,DefFrameProcA,SendNotifyMessageW,TranslateMessage,PostQuitMessage,UnregisterClassA,GetWindowTextLengthA,GetWindowTextA,GetClassNameA,SetClassLongA,GetTopWindow,GetDesktopWindow,GetDlgCtrlID,PostMessageW,GetClassWord,BeginDeferWindowPos,TranslateMDISysAccel,DefMDIChildProcW,DispatchMessageA,EnumWindows,CreateDialogParamA,PostMessageA,WindowFromPoint,SetDlgItemTextA,MoveWindow,MessageBoxExA,MessageBoxA,SetWindowWord,SetParent,SendDlgItemMessageA,DeferWindowPos,RegisterDragDrop,RemovePropA,GetLastActivePopup,GetWindowTextLengthW,SetWindowTextW,SetForegroundWindow,SetClassLongW,IsChild,EndDialog,DialogBoxParamW,FindWindowExA,GetWindowContextHelpId,EnumPropsA,OpenIcon,SetMessageExtraInfo,AdjustWindowRect,SendNotifyMessageA,DefMDIChildProcA,CloseWindow,InSendMessage,MessageBoxExW,MessageBoxW,DialogBoxParamA,GetWindowWord,FindWindowExW,GetMessagePos,ArrangeIconicWindows,GetWindowPlacement,CreateDialogParamW,PostThreadMessageW,EnumPropsExA,EnumPropsExW,GetMenuContextHelpId,CascadeWindows,SetWindowPlacement,GetNextDlgGroupItem,CallMsgFilterW,SendMessageTimeoutA,BroadcastSystemMessageW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
